,cross_validation_score,test_score,test_f1_score
third_best_model_lr,0.8533333333333333,0.8888888888888888,0.9166666666666666
second_best_model_lr,0.8566666666666667,0.8333333333333334,0.8888888888888888
best_model_lr,0.8616666666666667,0.8333333333333334,0.8888888888888888
svm_cv,0.8342857142857142,0.8333333333333334,0.8888888888888888
tree_cv,0.8761904761904763,0.9444444444444444,0.96
knn_cv,0.8609523809523811,0.8333333333333334,0.8888888888888888
